title,view,posted
Istana Wong Sintinx: Menelusuri Rumah Mendiang Ki Joko Bodo,121K views,1 day ago
Rumah Pengantin Setan Babak 3: Aksi Brutal Asmodeus dan Para Algojo dalam Puncak Ritual,162K views,5 days ago
RUMAH PENGANTIN SETAN BABAK 2: MENGUAK MEMPELAI LELAKI DI LERENG MERAPI!,228K views,12 days ago
TRAILER BABAK PUNCAK RITUAL PENGANTIN SETAN,40K views,13 days ago
PABRIK GULA PERNING DAN GENERASI SILUMAN BUAYA PUTIH,164K views,2 weeks ago
Gua Jepang Madura: Menyusuri Ruang Demi Ruang Penyiksaan,169K views,3 weeks ago
SARANJANA DI MADURA: ISTANA GAIB DAN PENJAGA PAKU BUMI,393K views,1 month ago
"PERADABAN MADURA, JEMBATAN SURAMADU, DAN BEKAS KUBURAN!",614K views,1 month ago
SPESIAL AWAL TAHUN 2024 | TRAILER MENYISIR MADURA: MISTERI PULAU GARAM,48K views,1 month ago
Kisah Tanah Jawa Berkunjung ke Rumah Mendiang Suzzanna,1.1M views,1 month ago
ISTANA PARA MUSYRIK: JEJAK SEKTE SESAT DI SEKOLAH,299K views,1 month ago
AINI SI IBU HAMIL VIRAL: MEMENUHI PANGGILAN RITUAL KE PANTAI NGOBARAN,344K views,1 month ago
RUMAH PENGANTIN SETAN LERENG MERAPI,616K views,1 month ago
NAPAK TILAS KASUS KEMATIAN WISMA SERMO,157K views,1 month ago
WADUK SERMO: WISATA MASA LALU SUMBER KEHIDUPAN MASA KE MASA,126K views,2 months ago
SEMPAT VIRAL! JIWANGGA RESTO ISTANA MAKHLUK GAIB,180K views,2 months ago
JAWABAN DARI KEKACAUAN OLAH RASA RUMAH SAKIT ANGKER,37K views,2 months ago
OLAH RASA: TIDAK ADA YANG SELAMAT! KRU DAN BINTANG TAMU HARUS DIBERSIHKAN!,248K views,2 months ago
OLAH RASA DI ANTARA SOSOK YANG MENGINTAI,124K views,2 months ago
Kasus Gangguan Hebat di Apartemen,129K views,3 months ago
MITOS: HIMBAUAN ATAU BUALAN?,23K views,3 months ago
KEJADIAN GANJIL DAN MITOS GADIS PENUNGGU APARTEMEN MANGKRAK,234K views,3 months ago
OLAH RASA DALAM KEGELAPAN #jurnalkisahmisteri EPS 5,1.7M views,3 months ago
TRAILER OLAH RASA DALAM KEGELAPAN #jurnalkisahmisteri EPS 5,228K views,3 months ago
KONON KATANYA: TALI POCONG,38K views,3 months ago
TANGIS DARI DALAM KOBARAN API #JurnalKisahMisteri EPS 2,2.4M views,3 months ago
TRAILER TANGIS DARI DALAM KOBARAN API #JurnalKisahMisteri EPS 2,402K views,3 months ago
Mengungkap Sejarah Gedung BNI 46 TRIKORA lewat Retrokognisi,267K views,4 months ago
Makam Keramat di Antara Keramaian Terminal Giwangan,162K views,4 months ago
BERKACA PADA MASA SILAM: 65 DARI MATA PENERUS BANGSA,53K views,4 months ago
